2018.12.19 12:18,323,1dnj****,211.36.***.225,0,2,조~깟~~노,
2018.07.21 02:33,371,oror****,182.214.***.22,1,0,"여당 최고위원이 대주주인 웹젠종목도 공매도에서 자유롭지 못합니다.
(청원글 발췌)김병관 더불어 민주당의원이 대주주로 등재 되어있는 코스닥에 웹젠이란 
종목의 최근 시세조종의혹에 관해서 면밀한 조사를 요청하려 합니다.

코스닥 여타 테마주 작전주도 아닌 재무도 좋고 작년 온기 영업이익을 올해 반기만에 달성할 정도로 영업이익도 좋은 기업에 단지 수급을 이용한 공매도를 통해 끝없는 하락을 
부추기고 유발하는 세력들의 계좌들을 면밀히 조사해주십시오. 특히 이베스트 성종화 연구원의 매수 레포트가 나온날엔 반드시 하락 공식은 너무나도 유명하죠.

공매도에 개별종목선물에 7월부터 개별종목옵션까지 이 조그만 종목에 파생이란 파생은 다 들러붙어 개미들은 피눈물 흘리며 고통받고 있습니다.

공매도와 선물옵션으로 세력들이 마음대로 휘젓는 이 상황이 조사된다면 다른 종목에도 도움이 될 것입니다. 시장에서 개미들을 나락으로 빠뜨리는 공매도의 문제점을 여당 최고위원이자 웹젠 대주주인 김병관 의원께 실상을 알리면서 해결책을 논의할 수 있는 청원의 장이 되도록 청원 참여 부탁드립니다.
https://www1.president.go.kr/petitions/312885?navigation=petitions",[]
2018.07.17 09:29,314,onix****,58.123.***.95,1,2,단자야 찌그러져있어라 ㅋㅋ,[]
2018.07.12 23:07,601,j009****,112.163.***.176,3,2,일시 장소 니가 정해 보내주라.,[]
2018.07.12 21:42,567,khk3****,222.120.***.49,5,2,"한국단자, '차량용 커넥터'로 45년 성장궤도

[떠오르는 車 전장부품사]①전기·친환경차 모듈 사업 급성장…매출 성장추세 이어질 듯

임정수 기자공개 2018-07-03 08:12:33

자동차 전장 부품의 중요성이 커지면서 글로벌 기업들 간 경쟁이 거세지고 있다. 자율주행, 첨단운전자보조시스템(ADAS) 등의 성능을 높이려는 부품사에게 차량용 반도체 등 전기·전자 기초 부품에 대한 기술력 확보가 매우 중요해졌다. 국내에서도 글로벌 수준의 원천 기술을 확보해 빠르게 성장하는 중소·중견 부품사들이 늘어나는 추세다. 새롭게 부상하는 전장 부품사의 성장 배경과 경영 현황을 들여다 본다.

자동차용 커넥터 전문 기업인 한국단자공업이 친환경차와 전장 모듈 시장 확대의 덕을 보고 있다. 현대기아차 완성차 판매량 부진에도 불구하고 주력인 자동차용 커넥터와 신성장 동력인 모듈 부문의 매출 성장에 힘입어 45년간의 장기 성장세를 이어갈 것으로 전망된다.

한국단자공업은 이창원 회장이 1973년 설립했다. 정부가 전자진흥 정책의 일환으로 전자 핵심부품 38개 업종을 지원하면서 커넥터 사업에 뛰어들었다. 커넥터란 전기 기기나 전선을 전기적으로 접합하기 위해 사용하는 부품이다. 커넥터 주요 수요자인 국내 자동차 회사와 전자 기업들이 가파른 성장을 거듭하면서 핵심 부품사인 한국단자공업의 성장 궤도가 이어졌다.

2017년 말 현재 자동차용 부품 매출 비중이 84%로 가장 크다. 커넥터 비중이 52%, 전장 모듈이 9%, 자동차용 기타 부품 매출이 23%를 차지한다. 전자용 커넥터를 비롯한 전자 부문과 발광다이오드(LED)용 리드프레임(기판) 등의 기타 매출 비중이 각각 14% 수준이다.


자동차용 부품의 최대 공급처는 현대기아차다. 전자 쪽에서는 삼성전자, LG전자 등에도 납품한다. 커넥터 부문 글로벌 1위 기업인 'TE커넥티비티(Tyco AMP)'와 국내 시장의 90% 가량을 과점하고 있다.

차량용 부품 매출 비중이 커서 완성차 생산 및 판매량에 연동해 실적 부침이 발생한다. 하지만 현대기아차의 완성차 판매가 급감한 2017년에도 한국단자공업은 자동차 부문을 중심으로 성장세를 이어갔다. 2017년 연결 기준 매출은 7444억원으로 2016년 7142억원에서 4.1% 성장했다.

특히 최근 전기차와 친환경차 시장이 확대되면서 커넥터와 모듈 등 관련 부품의 매출 성장세가 눈에 띄게 늘었다. 2017년에 주력인 자동차용 커넥터 매출이 견조한 가운데 성장 동력인 전장 모듈 부문의 매출이 50%나 증가했다. 전자용 커넥터와 기타 부문의 매출액도 각각 20%와 44% 늘었다.


올해 1분기에는 실적이 다소 악화되는 모습을 보였다. 1분기 매출은 1643억원으로 전년 동기 대비 15% 가량 감소했다. 자동차용 커넥터 매출은 18.8% 감소했고, 전자용 커넥터 매출도 5.5% 줄어들었다.

영업이익은 66억원으로 70%나 감소했다. 한국단자공업 관계자는 ""핵심 원자재인 구리 값이 크게 오른데다 주요 부품의 판가를 올리지 못해 수익성이 낮게 나왔다""면서 ""영업이익률은 다소 낮은 상황이 유지될 것""이라고 설명했다.

하지만 이는 일시적인 실적 부진으로 하반기부터 본격적으로 회복 추세를 보일 것으로 전망된다. 핵심 매출처인 현대기아차가 친환경차를 본격적으로 출시하면서 커넥터와 모듈 실적이 크게 개선될 전망이다.

친환경차용 커넥터 사용량은 가솔린용 대비 20~40% 많아 수요 증가가 예상된다. 또 신성장 동력인 센서 모듈과 친환경차용 모듈 부문의 가파른 성장세도 한동안 유지될 것으로 보인다.

증권업계 관계자는 ""현대·기아차가 2017년에 아이오닉, 니로 등의 친환경차를 잇따라 출시하면서 커넥터와 전장 모듈 수요가 증가했다""면서 ""현대기아차가 2020년까지 친환경차 라인업을 22개로 확장할 계획이라는 점을 고려하면 장기적으로 성장 추세가 유지될 것""이라고 내다봤다.

한국단자공업 관계자는 ""올해 1분기에는 주요 부품 공급 물량이 일시적으로 줄면서 매출이 감소했다""면서 ""올해 현대기아차가 코나, 니로 등의 전기차를 출시하면서 2분기부터 다시 성장 추세로 복귀할 것""이라고 말했다.",['이런 기사가 나오고도 주가가 못 올라가는건 주식이 다 됬다는거야 멀 알고 지껄여라 ㅉㅉㅉ']
2018.07.11 15:59,472,ljs5****,59.4.***.73,2,2,개성공단이 재개 되지 않트라도 개성공단에서 쓰든작원들 최우선적으로 고용 할수았으며 싼임금 파업없이 우선적으로고용하면 자동챠 부품주에서는 단연돋보이는주삭인대왜이렇게 푸대접일까요 이유없이 떨어자는 주삭은 반드시 돠돌아온다는사실 꼭기억하면좋겠음나다 5000억원의잉여금아있는 이회사 반드시 제자리 찾을검니다 내50년의 경험으로 존버 하면반드시 온다는것 을 자신함니다 신금순이 가는날이 이주식 대박나는날암을 잊지마십시요,[]
2018.07.11 13:06,404,ooju****,117.111.***.127,3,3,하반기도 바쁘지 않을 듯 한데 왜 떨어지지..올라갈 듯 기대함,[]
2018.07.10 11:26,302,onix****,58.123.***.95,1,5,"kw11**** 1coo****hunt**** 엄청물려 거의 골수로 찬티하는 세명입니다.

과연 이 세명이 본전이라도 하고 팔수 있을까요?? 난 절대로 그런 상황은 나오지 않는다고 단언하고 확신합니다. ㅉㅉ",[]
2018.07.10 10:15,352,onix****,58.123.***.95,1,3,사가지없는 주식과 찬티들의 만로가 어찌되는건지 내가 보여줄것인게 .... ㅋㅋㅋㄷㅋㄷ,['엇그제?ㅋ 만로?ㅋ\n동물이냐?ㅋ 일부러 웃기려고 글 이렇게 쓰는거지?ㅋ\n너같은 지적 수준이 무슨 주식 어쩌구 글을 쳐 남겨?ㅋ\n진짜 얘네 부모는 뭐하는 장애인이길래.. 이런 짐승을 이리 방치시키는거지?ㅋㅋ']
2018.07.09 09:27,374,onix****,58.123.***.95,2,2,"ㅋㅋㅋㅋ
저번주는 가는척 꼬신거고 오늘부턴 절때 너희에게 기쁨을 주진 않을것이다.
지금부턴 실망과 공포를 안겨줄것이다 .",[]
2018.07.03 09:42,259,onix****,58.123.***.95,1,2,ㅉㅉㅉ,[]
2018.06.30 15:30,759,kenn****,117.111.***.36,1,1,"이최저가일거라. 생각했는데


와. 미친주식이다


주주는아니지만. 계속. 눈여겨봤는데


와. 마이너스. 수백수천어키업도. 한국단자보다

시총이. 더나아가는데


만년흑자기업이. 와. 대박이다


주식은. 운빨인가. 어케. 수급이. 이리. 없냐


맘씨착하고. 부지런한. 아가씨보다

화장떡칠한. 실제 개못생기고. 흉측한.마음의 여우같은

여자들을. 따라다니는. 대다수의. 인간들. 때문인가보다

알짜배기주식을. 이렇게. 못보고. 시궁창에. 쳐박는. 쓰레기. 주식으로. 전락시키냐


대단하다. 한국주식수급


이해가안된다",['주식은 실적이다. 넌 주식을 보는 기준을 바꿔라. 한국단자가 112500원 고좀치고 빠지는 순간부터 단한번도 실적이 고점치는 그 시간때보다 좋아지기는커녕 계속나빠지고 있다는게 팩트다. 체크해봐라 어설픈 재무제표보는법으론 절대 주식투자에서 성공할수 없다.']
2018.06.29 15:15,879,onix****,58.123.***.95,2,2,물귀신이 잡아댕기거든 ^^ 물귀신 이기는 기업은 내 들어본적도 없다 ㅋㅋㅋㄷㅋㄷ,"['이 새끼는 진짜 갈기갈기 찢어서 동네 개한테 개밥으로 주고 싶다. ^^ 대가리 갈라보면 개들이 좋아하는 똥이 너무 많을거 같당~^^', '그동안 고생했네....ㅉㅉㅉㅉㅉㅉ', 'khk3****ㅋㅋ 야 물귀신이 얼마나 무서운지 종가에 보여줄게 잘봐라 ㅋㅋㅋㅋㅋㄷㅋㄷㅋㄷ', '물귀신이 널 잡아댕기면 조컷다.']"
2018.06.29 09:30,508,jjjj****,110.70.***.53,0,3,회사 참 좋구만,[]
2018.06.28 14:13,593,canc****,118.218.***.121,3,1,한강 갑니다.,['한강가기전에 다 팔고 가세요 그래야 그나마 남은 식구라도 깝데기라도 남겨먹죠 ㅉㅉ']
2018.06.28 09:52,382,ljh8****,218.52.***.179,2,1,부도나라!!! 차라리 회사 없어져 버리면 속시원하겠다!!,[]
2018.06.28 09:45,448,kudo****,58.123.***.95,1,2,근거없이 회사 좋게만 분들은 반성은 해야할듯 싶네요.,[]
2018.06.28 09:15,333,onix****,58.123.***.95,2,1,밑으로 쭉우욱 가자,['kw11**** 왜 ?? 니가 들고 물려있는주식 내려간다 예상 맞아 떨어지니까 몸에경기가 나나보지?? ㅋㅋ']
2018.06.26 23:41,366,ljh8****,218.52.***.179,3,1,부도나서 망해라!!!,[]
2018.06.22 12:13,743,ccc5****,122.128.***.114,4,2,"이회사는 아들자회사한테 돈?돌려서 안됨

주주돈 도둑질 계속 하니

절대 못오름 ㅋㅋ

비상장 자회사에 돈다빨리는데

이거 사는 흑우들 없재?","['자세히좀 알려주세요', '너만 안사믄 오를거같으니깐 사지마\n딴데가서 노라라잉']"
2018.06.22 11:15,493,onix****,58.123.***.95,2,2,그걸알면 한국단자가 왜 빠지는지도 알게 되겠지 ^^,"['kw11****ㅋㅋ 야 너 처럼 물려있는거 보다야 손절한 놈이 백배 났지 ㅋㅋ 안 그렇냐?? 아직 똥인지 된장인지 구분이 안되니??ㅋㅋ', '와~이정도로 미치려면 도대체 매수가를 얼마에 잡은겨?\n10만언 넘게 기둥뿌리뽑아서 인생매수 들어갓나보네 손절쳣고 이아줌마 여기 귀신되것다되것어\n야이 자시익드라 한여자인생을 이래 망가뜨려놓냐', 'ㅋㅋ 정신병자네 아놔']"
2018.06.22 11:10,283,onix****,58.123.***.95,0,2,한국단자가 왜 하락해야되는지도 아직 모르고 주식한다면 주식들 접어라 ㅉㅉㅈ,['오를땐 잠수\n내릴땐 활개\n박쥐 신가 ㄷㄷㄷ']
2018.06.22 09:54,253,kudo****,58.123.***.95,0,2,확 빠지라우,[]
2018.06.22 03:27,300,kurt****,175.223.***.236,1,1,"달러가 오르는건 현대.기아차엔 분명 호재인데
한국단자에도 좋은걸까요?",[]
2018.06.21 15:26,355,onix****,58.123.***.95,0,1,ㅉㅉㅉ,"['머이 오만언이야 신사임당 한장 줄테니깐 애들 과자나사줘 이여편네야', '왜? 5만원 본대메 그 양양한 자신감은 어디로 간겨?? ㅋㅋㅋㅋㄷㅋㄷ ㅉㅉㅉ', '아줌마 반찬값 벌러왓다가 남편월급 날려먹은거같은데 걍 10원짜리 화투나쳐 할매들이랑', '종가가 왜? 이폭락장세에서 선방하고잇구만 고작요거떨어진걸로 왜? 이 찌지라 ㅋㅋ 소녀소녀하네 참']"
2018.06.21 09:06,337,onix****,58.123.***.95,2,2,ㅉㅉㅉ,"['야이 이여편네야 반찬값 벌엇냐고 내한테 인증하라는거냐?\n수준보소 오지다리~~~~', 'hunt**** 아 그래 수익중이야 ? 니가 그리 주식잘해?? ㅋㅋ 게좌한번까봐라 니가 3%로 이상 수익중이면 내가 게시판 떠난다고 약속하마 됐냐? 계좌못 깔거면 아가리 하고 ㅉㅉㅉ', '안꺼질건데?ㅎㅎ', '난 수익중인데? ㅋㅋ', 'kw11****너도 hunt**** 요 인간이랑 똑같에 골수 물려있는 찬티 나브라기들 ㅉㅉㅉ']"
2018.06.20 15:28,261,kudo****,58.123.***.95,2,3,ㅋㅋㅋ,[]
2018.06.20 11:23,217,onix****,58.123.***.95,1,2,ㅉㅈㅈ,[]
2018.06.20 10:13,213,kudo****,58.123.***.95,1,3,야 쫌 좀 올라가도 나처럼 일관성을 가지고 못간다고 확신을 좀 줘봐라 ㅋㅋ,"['ㅉㅉ 수준하고는 천한것ㅎㅎ\n멍청하믄 착하기라도 하거라 ㅋㅋ', 'hunt****니 봉사되고 싶니? 눈깔이 보여야 맨날 깨져도 주식질이라도 해 먹을꺼 아이가?? ㅋㅋ']"
2018.06.19 09:03,287,onix****,58.123.***.95,1,2,미끄럼 ㅋㅋ,[]
2018.06.15 15:03,328,onix****,58.123.***.95,1,3,확 찌그러져라 ㅎ,"['오닉스야 손실 봣으믄 남자답게 쿨하게 떠나라 나야 너잇어도 상관없지만ㅋㅋ', 'Onix 신경쓰지마요 저런애들 노상 어디가도 저럽니다\n맨날 손실보니깐요ㅋㅋ', 'kw11****야 찌그러져라 헛소리그만하고 더위먹었니 ㅉㅉㅉ']"
2018.06.15 10:15,283,onix****,58.123.***.95,0,2,뒈지는 수 밖에 ㅋㄷㅋㄷ,[]
2018.06.15 09:08,284,onix****,58.123.***.95,1,2,ㅋㄷㅋㄷ,[]
2018.06.12 16:35,595,kurt****,39.7.***.177,1,1,가즈아~~~~~~,[]
2018.06.12 12:39,537,aber****,117.111.***.228,2,2,"4만 초반까지 빼고,, 올라갈줄 알았더니..

생각보다 빠르네.. 수급 & 그림 조옷타아~~",[]
2018.06.11 09:54,346,imsk****,222.107.***.209,0,1,식사끝,[]
2018.06.08 16:35,959,ccc5****,175.223.***.34,6,2,"7만원일때 아들회사로 이익빼돌린다는 기사보고 즉각 몽땅 매도햇는데 다행이네 ㅋ

외국이라면 바로 소송감인데 헬조선은 여전히 사기중 ㅋㅋ",[]
2018.06.08 09:22,643,kpu_****,223.62.***.207,2,4,ㅎㅎ가즈아,"['Onix야 이거 전기차 테마여 ㅋㅋㅋ 역시 손절친 찌지리 답다', '미친 소리는 니혼자해라 ㅉㅉ 내연 자동차 시대는 끝났다. 결론은 한국단자의 시대도 끝난것이다']"
2018.06.07 14:03,518,kurt****,175.223.***.248,1,2,언제까지 보유해야 중간배당 받을수 있나요?,['28일 6시요']
2018.06.02 17:20,1332,gegg****,211.36.***.123,3,2,"현기차부터 밴더들 다 폭망임
현기차가 글로벌시장이 개선되는게
주식오르는 유일한길...
자동차업계 자체가 호재가 없는데
기관 외국인들 못하러 한국단자에 투자하겠나","['광주에 완성차 공장 짓는다는데 ...좋은 소식 아닌가요?', '너 공매 알바냐 이시키야', '외국인은 투자하고 잇거든? 제대로 좀 알고 해라']"
2018.06.01 00:12,604,ljh8****,218.52.***.179,2,2,조만간 3자 보겠네~ 점점 고배당주 얘기 듣겠다~ ㅈㄹ같은~~,"['의쌰 의쌰\n조금만더 43,000 내려와라\n어짜피 회사에서는 내려오길 바라는데\n힘내세요 조금만더 내려오게']"
2018.05.31 17:17,555,6301****,223.175.***.27,2,2,2차 스키장공사에 들어갔구먼ㅋㅋ 겨울이와야 상승하겠구나,['이스키야 여기 스키타는데 아이다\n머하는 스키고']
2018.05.31 15:19,573,onix****,58.123.***.95,2,3,가망없는 대차물량만 가득싸이고 있다 오늘도 ㅋㅋ,"['한 삼년 꼬라박는 주식 찾아서.. 잣같은 글로 쫌이라도 개미털어내고.. 시세 주면 그때 삐질삐질 기어들어가자는거겠지..ㅋ\n하긴 못 배운 잡종들 대가리에서 나온게 그딴 생각뿐이겠지..ㅋ\n깊게 쳐물린 개미들한테 쳐먹는 욕도 달달할꺼고?ㅋ\n이런 개같은 것들 부모는 차라리 개를 키우지.\n이딴걸 인간새끼라고 키웠다는게 참..ㅋㅋ', '43,000 빨리 와리']"
2018.05.30 15:43,868,amor****,211.36.***.138,3,1,ㅠ,"['에고\n아직으 올라가면 안되는데\n43,000 올수있게 해주세요', '기다리세요\n43,000원 오니까\n그때 주식사면 10% 보장합니다', '작년거보고 머하노 세마리들 ㅎㄷㄷㄷ', 'kurt****야 정신차려라? 배당주봐야 1억원어치 주식들고잇다쳐도 세금때면 35만원도 안된다 ㅋㅋㅉㅉㅉ ㅋㅋ', '오! 6월배당 주나요?']"
2018.05.30 12:37,724,kpu_****,223.33.***.232,5,5,"지금 누르다 물량뺐긴애 꼴 좋다ㅋㅋ
그냥 잊고 한달 뒤에봐","['의이 씨\n43,000 걸어놓았는데\n영차 영차 어서어서\n내려와라', '6만원 가면 축하드립니다\n43,000 찍고 제가 산다음 이면\n더 좋을텐데요...']"
2018.05.30 11:25,377,d142****,220.77.***.9,1,2,"의? 의씨 힘내자
조금만더
43,000 을 위하여",[]
2018.05.30 10:15,497,onix****,58.123.***.95,3,4,"주식은 이렇게하는거야 내가 얼마전에 분명히 말했다 미국이나 우리나라나 주식잔치는 끝났다 ㅉㅉㅉ
한국단자가 더 오를수 없는 이유중에 하나가 지수는 계속빠져야하는데 못난게 꼴깝한다고 코스피200에들어가 있으니 프로그램매도에 타겟에다 대차,공매도에 집중타겟이 된다 그래서 소나기가 내릴수 밖에 없는거야 ㅉㅉㅉ","['지웠네?~^^\n단자가 아니라 니가 개걸레라는데..아니니?ㅋ\n자폐아 새끼가 그렇다면 그런줄 알지.. ㅋ\n욕 해달라고 글썼으면 즐겁게 욕 먹어라~ㅋ\n넌 걍 대한민국 개미들중에 제일 버러지 같은 인격이니까~^^', '그래도 손절 아까워서\n어제 담당자 통화 드릴말씀이...\n암튼 비나이다 신령님께\n43,000 되라고....', 'd142****버린 주식은 처다보지말아요 한국단자 확실한건 코스피200종목중에서 재일 썩은 주식이에요 다음번에 코스피200편입 어려워보이네요 ㅉㅉ', '똥 똥 똥주식 손실보고 어제 매도 ㅋㅋㅋ\n그래도 참 잘했어요 스스로 칭찬하고\n기다려서 43,000 오면 다시산다\n43.000 빨리 오길']"
2018.05.30 00:02,737,soul****,182.227.***.97,5,2,"물린 마음 이해야 갑니다만, 냉정하게 보셔야 함.

매출액이 점점 줄어들고 그에 따라 비용 희석효과가 줄어들어 이익률 또한 쪼그라 들고 있습니다.

이 회사가 어떤 바이오회사처럼 큰 잠재 가능성을 가지고 있는 것도 아니고, 매출과 이익성장 꾸준한 것도 아니고, 오히려 대주주 리스크까지 있으니 쉽게 돈 투자할 사람은 별로 없을겁니다.

저퍼주라고 생각하고 매수하면, 저퍼주가 고퍼주가 되는걸 볼 수 있을 것 같습니다.

아무튼 애매합니다.

성장주도 가치주도 꽁초주도 아닌 상황.

잘 판단하셔서 물을 타시던, 일부 손정하고 다른 종목 갈아타시던...

언젠지는 모르겠지만 사이클이 돌아올 때...
이걸 알기 힘드니 일이년 기간조정 후나
대외충격으로 큰 가격충격이 왔을 때쯤
IR담당자와 충분히 통화한 뒤 매수하는게 좋아보입니다.

성투하시길..","['국민연금도 이주식에서 손떼세요\n본인돈 아니라고\n안될거 알면서 붙들고있지 마시고요\n그래야 43,000 빨리 옵니다', '의쌰 의싸 조금만 더 힘내라\n43,000 오는 날까지\n회시 임직원 님 어서빨리 미세요\n43,000 목표 빨리 오게요...', '기다리세요\n43,000 옵니다\n하나님,부처님 빨리 43,000 목표에 도달하게 해주세요', '주식 하다보면 인내끝에 좋은 기회가 오기도 하고\n갑자기 급등하기도 해서\n도무지 알수가 없음']"
2018.05.29 14:32,387,poin****,223.39.***.123,0,3,수십장의 주식으로 가격을 떨어뜨려 개미 물량 뺐을라고...,"['ㅋㅋㅋ\n무조건43,000 옵니다\n니기할래요 오나 안오나\n난 온다에100%', 'd142****너처럼 똥보다 못한주식이라고 하면서 43000원에 사려고하는 즉, 언행이 일치하지 않는 쥐같은 인간들때문에 한국단자는 망하고 있는거야 ㅉㅉㅉ', '43,000원까지\n어서 와라 ....', '똥보다 못한 주식입니다\n똥은 거름이라도 쓸수있는데']"
2018.05.29 09:48,485,d142****,220.77.***.9,2,2,"해도해도 너무한 주식
탓 하면 모하겠냐만
이 주식을 산 내가 병신이지
떠나는 입장에서 한말하고갑니다
똥 똥 똥 보다 못하구나
똥은 거름으로나쓰지
볼수록 열받는 이주식 예라
..........","['에라이', '43,000 오면 재산 올인 합니다\n기회 주세요\n하나님,부처님, 신부님,', 'ㅋㅋㅋㅋㅋㅋㅋ\n역시 잘 팔았다\n마니손해는 봐지만 내려가는것보니까\n편한마음 드네요...', '팔고나면 올라가려나\n그래도 미련 버립니다', '조금씩 팔면서 마음비우니\n차분해지네요\n이런주식 처다보시는분 바0 아닐런지요..', 'd142**** 정답은 국민연금도 수없이 호구짓 많이한다 왜냐고?? 사람이 하는짓이라 그렇치 ㅉㅉ', '내가 똥보다 못하다 진작에 할때 받아들일 것이지 꼭 먹어보고 토한다음에 똥인지 인정하시나?? ㅉㅉㅉ', '국민연금은 이런 0 같은 주식에 왜 투자를 헀을까?\n1,본인돈이 아니여서\n2,친인척 관계여서\n3,묻지마투자여서?\n정말로 너무한 주식\n잘드시고 잘싸세요......']"
2018.05.25 15:24,684,onix****,58.123.***.95,1,5,ㅋㄷㅋㄷㅋㄷㅉㅉㅉ,[]
2018.05.24 14:10,591,onix****,58.123.***.95,1,4,"어제만 1350원 빠졌다 그런데 오늘 빠진거에 절반정도 회복했다 이건 상승에너지가 아직 없다는 얘기다 ㅉㅉ
가소로운것들 ㅋㅋ
때려 죽여도 못간다면 못 가는줄 알아라 ㅉㅉㅉ",[]
2018.05.25 11:02,330,dy80****,119.194.***.184,2,2,얼를사셔 그만주절거리고서리................,[]
2018.05.23 11:10,647,onix****,58.123.***.95,3,4,"정신병자가 아니고서야 이렇게 어리석을순 없다 ^^
네가 언제부터 올라갈수없는구조라고 힌트를 줬는가? 그리고 그 결과는 명백했다.
단언하는데 반등은 다른주식은 있어도 한국단자는 반등은 없다.
믿던지 말던지 결과는 2~3일후면 명백하게 나온다.",['감히 지워?ㅋㅋ\n이 쓰레기 주식엔 정신분열 onix-kudo님이 리딩중이시지.\n자폐증 심한 NERD같은 꼰대인데.. 지능은 돌아다니는 개 수준에.. 가방끈은 심하게 짧아 조선족 오해를 종종 받음.\n이딴게 네이버 못 기어 들어오게 손가락을 다 아작을 내야하는데..ㅋㅋ']
2018.05.23 10:00,414,j009****,112.163.***.176,2,0,"내가 포기하면서 줄줄 알았제.
택도 없다. 신발끈들아.

그냥 한동안 떠나갔다 온다 이말.
쳐다보기 싫다 이말이다.

그냥 무더둔다.
너거 꼴리는대로 된다.

하한가 10번 쳐도 괜찮다.
왜냐. 안 팔끼니까.

그랑께 너거 꼴리는대로
해무라.",[]
2018.05.23 09:49,413,j009****,112.163.***.176,2,1,"묻어둘래.
11월쯤 와 보께.

내리든 올리든
너거 조때로 해라.

죽어도 그냥은 못 죽것다.",[]
2018.05.22 22:16,494,rick****,59.16.***.203,4,3,"안사주잖아 아무도


개미만 사고 있고


40000~45000원 매물대까지 갈려나봐",[]
2018.05.22 08:08,544,j009****,112.163.***.176,0,3,"여긴 암자 같다.
인기척도 없는

오늘 불자들
어느 절간에
갔는고ㅡ.

여긴 개미하나
안 보이네.

앗서라. 불통의 늪에
빠져 죽어 가는 자들.

다신 이 세상 나오지 말고
영생극락 하소서.",['영감탱 몇층에 잇는데?']
2018.05.21 20:12,735,j009****,112.163.***.176,2,2,"큰 쇠이.
요즘 형편이 말이 아니네요 그려.

무끼살기 힘이드요.
나이들어 힘이업쏘.

젊은 아들한테
퍼뜩 넘기주고
쉬어 감서 하소.

인생 구름같이
순간 지날갈낀데
머할라 움켜쥐고 난리요.

안되모 믿들만한 전문경영자한테
맡기던지.

인자 얼마 아인기라.
빨리 하는기 불안을 떨쳐내는 길임.",[]
2018.05.21 14:31,783,j009****,112.163.***.176,0,1,"한 많은
국 치에 대한
단 한마디도 없어
자 식까지 걱정되네.

지발 나팔 좀 불어라.
누가 쫌 군불 쫌 때라.
나는 가진 게 없다.","['멀나서요 더빠지믄 좋지 겁쟁이는 맞음ㅋㅋ 인정할건해야지', '헌트 그래 영감이다.\n야이 자슥아.\n겁쟁이 맹키로\n조용히 나자빠져 있서모\n누가 챙기주나.\n\n야아. 젊머니들이\n좀 나서라.', '구구절절 멘트가 70대노인같아', '넌도대체 얼마에 얼마를 물린거니']"
2018.05.21 11:50,622,j009****,211.49.***.141,0,3,"배아파하는 놀부.

오늘 지켜보는 놈은
흥부가 기가 막혀.",['오늘파는 넘은 내일 파는넘한테 죽는다\n나전당포한다\n금니빨빼고 모조리 씹어줄게~']
2018.05.21 10:11,672,j009****,59.28.***.253,1,2,"여기 개미는 다 잠들었나요.

정말이지 무슨 사단이라도
내어야 회사에서 정신차릴텐데.

회사는 일언반구도 없고
증권사와 언론은 무관심한 듯 하고.
이거 어째야 쓰까나.

나도 회사도 개미도
원망스럽다.

이 주식팔고 나면
다시는 안온다.

이렇게 재미없이 조용한
종목인 줄 몰랐네.","['모두 무관심할때가 진정한 바닥 아닐까요\n아직 경영권 승계가 안이뤄져서 그렇습니다 작업마무리 좋은 소식 있을겁니다 적립식 적금형태로 계속 투자하시면 좋은 결과 내실겁니다\n요즘 전처럼 다시 마니 바빠졌다구 합니다', '저포함 다혼수상태아닐까요']"
2018.05.18 20:53,974,dy34****,219.241.***.250,2,3,떨어지는건 다 이유가 있는건데...왜 자꾸 떨어질까요?,[]
